id;amount;is_paid;paid_at;expiry_date
1;68944;false;2022-12-04T09:13:33;2022-12-04T05:46:57
2;11629;false;2022-12-04T01:24:58;2022-12-04T10:03:13
3;51758;false;2022-12-04T02:55:14;2022-12-03T15:56:01
4;17853;true;2022-12-03T19:14:02;2022-12-03T18:23:35
5;27706;false;2022-12-03T21:28:24;2022-12-04T09:28:12
6;46030;false;2022-12-03T20:16:42;2022-12-04T09:27:12
7;68461;false;2022-12-03T20:00:10;2022-12-03T22:40:43
8;27268;true;2022-12-03T21:10:11;2022-12-03T15:19:49
9;4260;false;2022-12-03T19:04:56;2022-12-03T16:47:40
10;37748;true;2022-12-04T02:34:20;2022-12-03T19:11:14
