id;period_name;create_at;amount;dates_of_period
1;Wooden;2022-12-03T17:57:21;27151;HalfYear
2;Avon Chief Krone;2022-12-04T13:17:02;57212;Year
3;stable plum Bedfordshire;2022-12-04T01:06:07;61383;Month
4;Unions;2022-12-04T12:58:30;98946;Year
5;Direct array Account;2022-12-04T07:09:57;57068;Week
6;program hack;2022-12-04T01:48:42;4515;Day
7;synergistic drive;2022-12-04T12:14:57;50294;HalfYear
8;mindshare;2022-12-04T04:50:42;6073;HalfYear
9;Consultant;2022-12-03T13:34:29;38017;Month
10;Burg;2022-12-04T09:27:16;8468;HalfYear
