id;turnir_name;creater_id;start_date;end_date;price
1;Awesome;27074;2022-12-04T09:32:31;2022-12-04T00:45:57;48479
2;Forks;35505;2022-12-04T04:45:13;2022-12-03T22:43:56;99212
3;Peru Corporate ;51557;2022-12-04T00:14:08;2022-12-04T13:14:50;47593
4;solid;24385;2022-12-04T07:00:58;2022-12-03T20:00:38;85587
5;Chips;56888;2022-12-03T22:06:53;2022-12-04T08:43:07;89718
6;seamless;98445;2022-12-04T07:50:55;2022-12-04T12:49:32;46343
7;Lev;44527;2022-12-04T12:01:06;2022-12-03T22:20:46;7934
8;port;94022;2022-12-03T21:19:22;2022-12-04T08:34:03;97466
9;challenge;89236;2022-12-03T20:49:14;2022-12-04T02:44:33;55861
10;sensor metrics;3728;2022-12-04T07:06:15;2022-12-04T12:29:21;80008
